id,String
0,http://db.uwaterloo.ca/~galuc/wsdbm/User10
1,"7707564"
2,http://db.uwaterloo.ca/~galuc/wsdbm/User11
3,http://schema.org/telephone
4,"2465721"
5,"1114154"
6,http://db.uwaterloo.ca/~galuc/wsdbm/User12
7,"4320055"
8,http://db.uwaterloo.ca/~galuc/wsdbm/User13
9,"7740777"
10,"2682037"
11,http://db.uwaterloo.ca/~galuc/wsdbm/User14
12,"1096306"
13,http://db.uwaterloo.ca/~galuc/wsdbm/User15
14,"7628319"
15,http://db.uwaterloo.ca/~galuc/wsdbm/User16
16,"5739879"
17,"1989-04-18"
18,"8367715"
19,http://db.uwaterloo.ca/~galuc/wsdbm/User17
20,"5812279"
21,http://db.uwaterloo.ca/~galuc/wsdbm/User18
22,"2666855"
23,http://db.uwaterloo.ca/~galuc/wsdbm/User19
24,"2197879"
25,http://db.uwaterloo.ca/~galuc/wsdbm/User20
26,"1992-07-25"
27,"8240161"
28,http://db.uwaterloo.ca/~galuc/wsdbm/User21
29,"8581297"
30,http://db.uwaterloo.ca/~galuc/wsdbm/User22
31,"4886195"
32,http://db.uwaterloo.ca/~galuc/wsdbm/User23
33,"9392466"
34,http://db.uwaterloo.ca/~galuc/wsdbm/User24
35,"9470685"
36,http://db.uwaterloo.ca/~galuc/wsdbm/User25
37,"6707118"
38,http://db.uwaterloo.ca/~galuc/wsdbm/User26
39,"4491090"
40,http://db.uwaterloo.ca/~galuc/wsdbm/User27
41,"3692477"
42,http://db.uwaterloo.ca/~galuc/wsdbm/User28
43,"9379217"
44,http://db.uwaterloo.ca/~galuc/wsdbm/User29
45,"1681502"
46,http://db.uwaterloo.ca/~galuc/wsdbm/User30
47,"8707431"
48,http://db.uwaterloo.ca/~galuc/wsdbm/User31
49,"2427232"
50,http://db.uwaterloo.ca/~galuc/wsdbm/User32
51,"6694760"
52,http://db.uwaterloo.ca/~galuc/wsdbm/User33
53,"1971-07-09"
54,"8961158"
55,http://db.uwaterloo.ca/~galuc/wsdbm/User34
56,"1200626"
57,"8551323"
58,http://db.uwaterloo.ca/~galuc/wsdbm/User35
59,"4153136"
60,http://db.uwaterloo.ca/~galuc/wsdbm/User36
61,"1975-07-07"
62,"1445903"
63,http://db.uwaterloo.ca/~galuc/wsdbm/User37
64,"6430572"
65,http://db.uwaterloo.ca/~galuc/wsdbm/User38
66,"1994-10-15"
67,"1575050"
68,http://db.uwaterloo.ca/~galuc/wsdbm/User39
69,"7432065"
70,http://db.uwaterloo.ca/~galuc/wsdbm/User40
71,"3116413"
72,http://db.uwaterloo.ca/~galuc/wsdbm/User41
73,"1999-11-14"
74,"2082695"
75,http://db.uwaterloo.ca/~galuc/wsdbm/User42
76,"4946074"
77,http://db.uwaterloo.ca/~galuc/wsdbm/User43
78,"1976-07-29"
79,"7571585"
80,http://db.uwaterloo.ca/~galuc/wsdbm/User44
81,"8592209"
82,http://db.uwaterloo.ca/~galuc/wsdbm/User45
83,"2018906"
84,"1984077"
85,http://db.uwaterloo.ca/~galuc/wsdbm/User46
86,"1986-12-19"
87,"3531577"
88,http://db.uwaterloo.ca/~galuc/wsdbm/User47
89,"6532341"
90,http://db.uwaterloo.ca/~galuc/wsdbm/User48
91,"1973-05-09"
92,"3985593"
93,http://db.uwaterloo.ca/~galuc/wsdbm/User49
94,"1980-12-03"
95,"3199354"
96,http://db.uwaterloo.ca/~galuc/wsdbm/User50
97,"1978-12-01"
98,"3315516"
99,http://db.uwaterloo.ca/~galuc/wsdbm/User51
100,"1985-06-10"
101,"6024270"
102,http://db.uwaterloo.ca/~galuc/wsdbm/User52
103,"5703782"
104,http://db.uwaterloo.ca/~galuc/wsdbm/User53
105,"1043897"
106,http://db.uwaterloo.ca/~galuc/wsdbm/User54
107,"6088609"
108,http://db.uwaterloo.ca/~galuc/wsdbm/User55
109,"3382876"
110,http://db.uwaterloo.ca/~galuc/wsdbm/User56
111,"1970-02-15"
112,"4690290"
113,http://db.uwaterloo.ca/~galuc/wsdbm/User57
114,"8490361"
115,http://db.uwaterloo.ca/~galuc/wsdbm/User58
116,"3814915"
117,http://db.uwaterloo.ca/~galuc/wsdbm/User59
118,"4593213"
119,http://db.uwaterloo.ca/~galuc/wsdbm/User60
120,"1787386"
121,http://db.uwaterloo.ca/~galuc/wsdbm/User61
122,"9489059"
123,http://db.uwaterloo.ca/~galuc/wsdbm/User62
124,"4389724"
125,http://db.uwaterloo.ca/~galuc/wsdbm/User63
126,"5554401"
127,http://db.uwaterloo.ca/~galuc/wsdbm/User64
128,"5975851"
129,http://db.uwaterloo.ca/~galuc/wsdbm/User65
130,"2685873"
131,http://db.uwaterloo.ca/~galuc/wsdbm/User66
132,"2717224"
133,http://db.uwaterloo.ca/~galuc/wsdbm/User67
134,"5592332"
135,http://db.uwaterloo.ca/~galuc/wsdbm/User68
136,"3857913"
137,http://db.uwaterloo.ca/~galuc/wsdbm/User69
138,"9593137"
139,http://db.uwaterloo.ca/~galuc/wsdbm/User70
140,"9674572"
141,http://db.uwaterloo.ca/~galuc/wsdbm/User71
142,"9332314"
143,http://db.uwaterloo.ca/~galuc/wsdbm/User72
144,"1975-07-12"
145,"8808222"
146,http://db.uwaterloo.ca/~galuc/wsdbm/User73
147,"1364398"
148,http://db.uwaterloo.ca/~galuc/wsdbm/User74
149,"9626187"
150,http://db.uwaterloo.ca/~galuc/wsdbm/User75
151,"9539862"
152,http://db.uwaterloo.ca/~galuc/wsdbm/User76
153,"3353868"
154,http://db.uwaterloo.ca/~galuc/wsdbm/User77
155,"1993-05-26"
156,"2883251"
157,http://db.uwaterloo.ca/~galuc/wsdbm/User78
158,"2827872"
159,http://db.uwaterloo.ca/~galuc/wsdbm/User79
160,"4777756"
161,http://db.uwaterloo.ca/~galuc/wsdbm/User80
162,"8335572"
163,http://db.uwaterloo.ca/~galuc/wsdbm/User81
164,"4939715"
165,http://db.uwaterloo.ca/~galuc/wsdbm/User82
166,"8966808"
167,http://db.uwaterloo.ca/~galuc/wsdbm/User83
168,"6510746"
169,http://db.uwaterloo.ca/~galuc/wsdbm/User84
170,"4357804"
171,"1951303"
172,http://db.uwaterloo.ca/~galuc/wsdbm/User85
173,"8382871"
174,http://db.uwaterloo.ca/~galuc/wsdbm/User86
175,"1971-11-08"
176,"5553080"
177,http://db.uwaterloo.ca/~galuc/wsdbm/User87
178,"4331438"
179,http://db.uwaterloo.ca/~galuc/wsdbm/User88
180,"2614647"
181,http://db.uwaterloo.ca/~galuc/wsdbm/User89
182,"5890296"
183,http://db.uwaterloo.ca/~galuc/wsdbm/User90
184,"9411838"
185,http://db.uwaterloo.ca/~galuc/wsdbm/User91
186,"6433960"
187,http://db.uwaterloo.ca/~galuc/wsdbm/User92
188,"1060234"
189,http://db.uwaterloo.ca/~galuc/wsdbm/User93
190,"2267652"
191,http://db.uwaterloo.ca/~galuc/wsdbm/User94
192,"7040906"
193,http://db.uwaterloo.ca/~galuc/wsdbm/User95
194,"9405312"
195,http://db.uwaterloo.ca/~galuc/wsdbm/User96
196,"6697728"
197,http://db.uwaterloo.ca/~galuc/wsdbm/User97
198,"1990-11-05"
199,"4419735"
200,http://db.uwaterloo.ca/~galuc/wsdbm/User98
201,"4610212"
202,http://db.uwaterloo.ca/~galuc/wsdbm/User99
203,"2695923"
204,http://db.uwaterloo.ca/~galuc/wsdbm/User100
205,"4744264"
206,"7286637"
207,http://db.uwaterloo.ca/~galuc/wsdbm/User101
208,"7845263"
209,http://db.uwaterloo.ca/~galuc/wsdbm/User102
210,"6140531"
211,http://db.uwaterloo.ca/~galuc/wsdbm/User103
212,"1856520"
213,http://db.uwaterloo.ca/~galuc/wsdbm/User104
214,"4049490"
215,http://db.uwaterloo.ca/~galuc/wsdbm/User105
216,"1995-09-21"
217,"7694761"
218,http://db.uwaterloo.ca/~galuc/wsdbm/User106
219,"1973-10-05"
220,"8507414"
221,http://db.uwaterloo.ca/~galuc/wsdbm/User107
222,"7569797"
223,http://db.uwaterloo.ca/~galuc/wsdbm/User108
224,"1928763"
225,http://db.uwaterloo.ca/~galuc/wsdbm/User109
226,"2524632"
227,http://db.uwaterloo.ca/~galuc/wsdbm/User110
228,"8930153"
229,http://db.uwaterloo.ca/~galuc/wsdbm/User111
230,"8721584"
231,http://db.uwaterloo.ca/~galuc/wsdbm/User112
232,"9324959"
233,http://db.uwaterloo.ca/~galuc/wsdbm/User113
234,"6280181"
235,http://db.uwaterloo.ca/~galuc/wsdbm/User114
236,"2636301"
237,http://db.uwaterloo.ca/~galuc/wsdbm/User115
238,"7906704"
239,http://db.uwaterloo.ca/~galuc/wsdbm/User116
240,"1989-02-02"
241,"8810741"
242,http://db.uwaterloo.ca/~galuc/wsdbm/User117
243,"6580441"
244,http://db.uwaterloo.ca/~galuc/wsdbm/User118
245,"3189482"
246,http://db.uwaterloo.ca/~galuc/wsdbm/User119
247,"1981-05-03"
248,"6595862"
249,http://db.uwaterloo.ca/~galuc/wsdbm/User120
250,"6938722"
251,http://db.uwaterloo.ca/~galuc/wsdbm/User121
252,"5633241"
253,http://db.uwaterloo.ca/~galuc/wsdbm/User122
254,"1406506"
255,http://db.uwaterloo.ca/~galuc/wsdbm/User123
256,"9937891"
257,http://db.uwaterloo.ca/~galuc/wsdbm/User124
258,"9638982"
259,"7557102"
260,http://db.uwaterloo.ca/~galuc/wsdbm/User125
261,"1357704"
262,"1184028"
263,http://db.uwaterloo.ca/~galuc/wsdbm/User126
264,"4605450"
265,http://db.uwaterloo.ca/~galuc/wsdbm/User127
266,"7149292"
267,http://db.uwaterloo.ca/~galuc/wsdbm/User128
268,"1972-11-24"
269,"1965910"
270,http://db.uwaterloo.ca/~galuc/wsdbm/User129
271,"7746660"
272,http://db.uwaterloo.ca/~galuc/wsdbm/User130
273,"1423562"
274,"6199236"
275,http://db.uwaterloo.ca/~galuc/wsdbm/User131
276,"9248141"
277,http://db.uwaterloo.ca/~galuc/wsdbm/User132
278,"4394346"
279,http://db.uwaterloo.ca/~galuc/wsdbm/User133
280,"1995-08-22"
281,"6150954"
282,http://db.uwaterloo.ca/~galuc/wsdbm/User134
283,"1101505"
284,http://db.uwaterloo.ca/~galuc/wsdbm/User135
285,"1977-04-06"
286,"4876144"
287,http://db.uwaterloo.ca/~galuc/wsdbm/User136
288,"3479368"
289,http://db.uwaterloo.ca/~galuc/wsdbm/User137
290,"9407825"
291,http://db.uwaterloo.ca/~galuc/wsdbm/User138
292,"5977325"
293,http://db.uwaterloo.ca/~galuc/wsdbm/User139
294,"2236558"
295,http://db.uwaterloo.ca/~galuc/wsdbm/User140
296,"1987-12-11"
297,"3885928"
298,http://db.uwaterloo.ca/~galuc/wsdbm/User141
299,"8402146"
300,http://db.uwaterloo.ca/~galuc/wsdbm/User142
301,"5551960"
302,http://db.uwaterloo.ca/~galuc/wsdbm/User143
303,"4535600"
304,http://db.uwaterloo.ca/~galuc/wsdbm/User144
305,"1898975"
306,http://db.uwaterloo.ca/~galuc/wsdbm/User145
307,"7453307"
308,http://db.uwaterloo.ca/~galuc/wsdbm/User146
309,"1612603"
310,http://db.uwaterloo.ca/~galuc/wsdbm/User147
311,"5646655"
312,"5694585"
